reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=535, #inner=265, relaxed-p-obj=14057.93, decoded_t=9837.512, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0022, gap=0.037, nnz=51015(0.0038), time=2.3e+03
iter=540, #inner=267, relaxed-p-obj=14060.93, decoded_t=10055, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0036, gap=0.036, nnz=51065(0.0038), time=2.3e+03
iter=545, #inner=267, relaxed-p-obj=14073.51, decoded_t=10055, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.00076, gap=0.034, nnz=51118(0.0038), time=2.3e+03
iter=550, #inner=266, relaxed-p-obj=14091, decoded_t=9837.512, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.001, gap=0.032, nnz=50739(0.0037), time=2.4e+03
iter=555, #inner=271, relaxed-p-obj=14105.19, decoded_t=9838.212, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0018, gap=0.031, nnz=49651(0.0037), time=2.4e+03
iter=560, #inner=268, relaxed-p-obj=14104.88, decoded_t=9838.212, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.00095, gap=0.03, nnz=50689(0.0037), time=2.4e+03
iter=565, #inner=263, relaxed-p-obj=14100.17, decoded_t=9838.212, best_decoded=10194.21, eta=1, p_inf=0.11, d_inf=0.0015, gap=0.03, nnz=51318(0.0038), time=2.4e+03
iter=570, #inner=266, relaxed-p-obj=14139.5, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.11, d_inf=0.00069, gap=0.027, nnz=51229(0.0038), time=2.4e+03
iter=575, #inner=264, relaxed-p-obj=14140.74, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.11, d_inf=0.0003, gap=0.026, nnz=51245(0.0038), time=2.4e+03
iter=580, #inner=258, relaxed-p-obj=14139.72, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.11, d_inf=0.00034, gap=0.025, nnz=52742(0.0039), time=2.5e+03
iter=585, #inner=262, relaxed-p-obj=14133.61, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.11, d_inf=0.0024, gap=0.025, nnz=51571(0.0038), time=2.5e+03
iter=590, #inner=264, relaxed-p-obj=14146.07, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.11, d_inf=0.00059, gap=0.024, nnz=51318(0.0038), time=2.5e+03
iter=595, #inner=265, relaxed-p-obj=14157.22, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0038, gap=0.022, nnz=51234(0.0038), time=2.5e+03
iter=600, #inner=261, relaxed-p-obj=14167.49, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.00048, gap=0.021, nnz=51869(0.0038), time=2.5e+03
iter=605, #inner=262, relaxed-p-obj=14160.48, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0019, gap=0.021, nnz=51923(0.0038), time=2.5e+03
iter=610, #inner=261, relaxed-p-obj=14160.3, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0016, gap=0.02, nnz=51985(0.0038), time=2.6e+03
iter=615, #inner=257, relaxed-p-obj=14158.22, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0004, gap=0.02, nnz=52672(0.0039), time=2.6e+03
iter=620, #inner=259, relaxed-p-obj=14161.84, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0011, gap=0.019, nnz=52483(0.0039), time=2.6e+03
iter=625, #inner=266, relaxed-p-obj=14170.36, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.1, d_inf=0.0026, gap=0.018, nnz=50100(0.0037), time=2.6e+03
iter=630, #inner=267, relaxed-p-obj=14162.62, decoded_t=10429.26, best_decoded=10429.26, eta=1, p_inf=0.099, d_inf=0.0024, gap=0.018, nnz=50483(0.0037), time=2.6e+03
iter=635, #inner=273, relaxed-p-obj=14185.87, decoded_t=10534.46, best_decoded=10534.46, eta=1, p_inf=0.097, d_inf=0.0033, gap=0.016, nnz=49267(0.0037), time=2.6e+03
iter=640, #inner=271, relaxed-p-obj=14177.9, decoded_t=10534.46, best_decoded=10534.46, eta=1, p_inf=0.098, d_inf=0.00081, gap=0.016, nnz=49548(0.0037), time=2.7e+03
iter=645, #inner=271, relaxed-p-obj=14173.89, decoded_t=10534.46, best_decoded=10534.46, eta=1, p_inf=0.098, d_inf=0.0013, gap=0.016, nnz=49731(0.0037), time=2.7e+03
iter=650, #inner=267, relaxed-p-obj=14172.04, decoded_t=10534.46, best_decoded=10534.46, eta=1, p_inf=0.098, d_inf=0.0048, gap=0.015, nnz=49540(0.0037), time=2.7e+03
iter=655, #inner=267, relaxed-p-obj=14173.11, decoded_t=10545.16, best_decoded=10545.16, eta=1, p_inf=0.096, d_inf=0.0018, gap=0.015, nnz=50436(0.0037), time=2.7e+03
iter=660, #inner=268, relaxed-p-obj=14176.2, decoded_t=10547.46, best_decoded=10547.46, eta=1, p_inf=0.096, d_inf=0.0016, gap=0.014, nnz=49560(0.0037), time=2.7e+03
iter=665, #inner=269, relaxed-p-obj=14176.41, decoded_t=10546.85, best_decoded=10547.46, eta=1, p_inf=0.1, d_inf=0.0023, gap=0.014, nnz=49771(0.0037), time=2.7e+03
