reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=92, primal_obj=3721, best_primal_obj=3733, dual_obj=3733.72, relaxed_primal=3732.01, relaxed_dual=3733.73, grad_l2=1.14183, infea_inf(ratio=max/min)=e^(120.102), int_gap=224.244, pow_l1=inf, time=18126.2
iter=93, primal_obj=3682, best_primal_obj=3733, dual_obj=3733.72, relaxed_primal=3728.45, relaxed_dual=3733.72, grad_l2=0.874137, infea_inf(ratio=max/min)=e^(121.609), int_gap=307.702, pow_l1=inf, time=18284.2
iter=94, primal_obj=3732, best_primal_obj=3733, dual_obj=3733.66, relaxed_primal=3733.01, relaxed_dual=3733.67, grad_l2=1.01311, infea_inf(ratio=max/min)=e^(120), int_gap=154.553, pow_l1=inf, time=18439.7
iter=95, primal_obj=3666.33, best_primal_obj=3733, dual_obj=3733.75, relaxed_primal=3730.17, relaxed_dual=3733.75, grad_l2=0.862031, infea_inf(ratio=max/min)=e^(121.609), int_gap=316.094, pow_l1=inf, time=18595.4
iter=96, primal_obj=3732, best_primal_obj=3733, dual_obj=3733.7, relaxed_primal=3733.01, relaxed_dual=3733.7, grad_l2=1.23202, infea_inf(ratio=max/min)=e^(120.518), int_gap=194.597, pow_l1=inf, time=18751.8
iter=97, primal_obj=3708, best_primal_obj=3733, dual_obj=3733.67, relaxed_primal=3731, relaxed_dual=3733.67, grad_l2=0.870456, infea_inf(ratio=max/min)=e^(121.609), int_gap=239.232, pow_l1=inf, time=18909.4
iter=98, primal_obj=3732, best_primal_obj=3733, dual_obj=3733.68, relaxed_primal=3733, relaxed_dual=3733.69, grad_l2=0.955484, infea_inf(ratio=max/min)=e^(120.12), int_gap=154.627, pow_l1=inf, time=19066.1
iter=99, primal_obj=3706, best_primal_obj=3733, dual_obj=3733.69, relaxed_primal=3733, relaxed_dual=3733.7, grad_l2=0.875924, infea_inf(ratio=max/min)=e^(121.609), int_gap=235.305, pow_l1=inf, time=19222.5
iter=100, primal_obj=3699, best_primal_obj=3733, dual_obj=3733.71, relaxed_primal=3729.01, relaxed_dual=3733.71, grad_l2=1.1511, infea_inf(ratio=max/min)=e^(120), int_gap=296.031, pow_l1=inf, time=19378.5
iter=101, primal_obj=3700, best_primal_obj=3733, dual_obj=3733.71, relaxed_primal=3728.98, relaxed_dual=3733.71, grad_l2=0.910618, infea_inf(ratio=max/min)=e^(121.609), int_gap=247.289, pow_l1=inf, time=19534.1
iter=102, primal_obj=3704.17, best_primal_obj=3733, dual_obj=3733.66, relaxed_primal=3733, relaxed_dual=3733.66, grad_l2=1.04085, infea_inf(ratio=max/min)=e^(120.005), int_gap=190.664, pow_l1=inf, time=19691.8
iter=103, primal_obj=3729, best_primal_obj=3733, dual_obj=3733.65, relaxed_primal=3733, relaxed_dual=3733.66, grad_l2=0.873463, infea_inf(ratio=max/min)=e^(121.609), int_gap=199.235, pow_l1=inf, time=19849.4
iter=104, primal_obj=3662.67, best_primal_obj=3733, dual_obj=3733.7, relaxed_primal=3731.01, relaxed_dual=3733.71, grad_l2=1.17318, infea_inf(ratio=max/min)=e^(120.135), int_gap=308.286, pow_l1=inf, time=19999.4
